fecha,vol_corregido,flujo_corregido,presion,temperatura
2025-04-03 15:30:02.850,5836207.0,0.0,11.100000381469727,25.799999237060547
2025-04-03 16:00:02.053,5836233.0,44.0,11.399999618530273,21.5
2025-04-03 22:00:01.783,5836583.0,83.0999984741211,11.399999618530273,17.0
2025-04-03 15:00:02.770,5836207.0,0.0,12.0,26.200000762939453
2025-04-04 03:30:01.977,5837209.0,187.8000030517578,11.5,16.100000381469727
2025-04-04 04:30:01.637,5837416.0,237.8000030517578,11.399999618530273,16.100000381469727
2025-04-04 06:00:01.680,5837575.0,0.0,12.300000190734863,18.0
2025-04-03 18:30:02.030,5836349.0,53.29999923706055,11.399999618530273,19.600000381469727
2025-04-03 19:30:01.737,5836406.0,62.20000076293945,11.399999618530273,18.399999618530273
2025-04-03 22:30:02.287,5836622.0,68.0999984741211,11.600000381469727,16.899999618530273
2025-04-03 11:00:01.823,5836207.0,0.0,12.199999809265137,25.299999237060547
2025-04-03 13:00:01.437,5836207.0,0.0,12.100000381469727,25.5
2025-04-03 13:30:01.827,5836207.0,0.0,12.100000381469727,26.100000381469727
2025-04-03 14:00:02.537,5836207.0,0.0,12.100000381469727,26.799999237060547
2025-04-03 16:30:01.437,5836254.0,45.400001525878906,11.399999618530273,20.399999618530273
2025-04-03 17:00:01.923,5836276.0,45.20000076293945,11.399999618530273,20.100000381469727
2025-04-03 18:00:01.657,5836323.0,50.5,11.399999618530273,20.0
2025-04-03 19:00:01.377,5836377.0,56.5,11.399999618530273,19.100000381469727
2025-04-03 20:00:02.217,5836439.0,68.19999694824219,11.399999618530273,17.899999618530273
2025-04-03 21:00:02.100,5836507.0,68.80000305175781,11.5,17.399999618530273
2025-04-03 21:30:01.437,5836544.0,74.0999984741211,11.399999618530273,17.200000762939453
2025-04-03 23:00:01.540,5836658.0,74.0999984741211,11.5,16.899999618530273
2025-04-04 00:00:01.793,5836737.0,80.9000015258789,11.399999618530273,16.600000381469727
2025-04-04 00:00:03.390,5836737.0,80.9000015258789,11.399999618530273,16.600000381469727
2025-04-04 00:30:01.820,5836778.0,82.80000305175781,11.5,16.600000381469727
2025-04-04 01:00:02.087,5836831.0,118.4000015258789,11.399999618530273,16.299999237060547
2025-04-04 01:30:01.480,5836889.0,123.0999984741211,11.399999618530273,16.299999237060547
2025-04-04 02:00:01.960,5836956.0,145.60000610351562,11.399999618530273,16.200000762939453
2025-04-04 02:30:01.430,5837033.0,158.60000610351562,11.399999618530273,16.100000381469727
2025-04-04 03:00:09.860,5837118.0,176.8000030517578,11.399999618530273,16.100000381469727
2025-04-04 04:00:01.340,5837307.0,211.39999389648438,11.5,16.100000381469727
2025-04-04 05:00:02.090,5837531.0,170.10000610351562,11.600000381469727,16.200000762939453
2025-04-03 11:30:02.253,5836207.0,0.0,12.199999809265137,26.100000381469727
2025-04-03 17:30:02.290,5836299.0,45.5,11.399999618530273,20.0
2025-04-03 12:00:01.553,5836207.0,0.0,12.0,26.100000381469727
2025-04-03 12:30:02.043,5836207.0,0.0,12.0,25.399999618530273
2025-04-03 14:30:01.637,5836207.0,0.0,12.0,26.700000762939453
2025-04-03 20:30:01.447,5836471.0,67.5,11.600000381469727,17.600000381469727
2025-04-03 23:30:02.090,5836696.0,78.0,11.5,16.700000762939453
2025-04-04 05:30:01.447,5837575.0,0.0,12.399999618530273,17.100000381469727
