fecha,vol_corregido,flujo_corregido,presion,temperatura
2025-03-06 10:30:02.203,2234319.25,723.5999755859375,20.700000762939453,25.299999237060547
2025-03-06 11:00:02.683,2234682.25,705.7000122070312,20.799999237060547,25.799999237060547
2025-03-06 13:00:02.207,2236119.25,724.0999755859375,20.700000762939453,30.5
2025-03-06 13:30:02.687,2236486.25,744.9000244140625,20.399999618530273,31.399999618530273
2025-03-06 14:00:02.183,2236843.25,596.5999755859375,20.799999237060547,31.299999237060547
2025-03-06 16:00:02.097,2238308.25,723.7999877929688,20.700000762939453,29.899999618530273
2025-03-06 16:30:02.543,2238679.25,724.5999755859375,20.600000381469727,28.700000762939453
2025-03-06 17:30:02.483,2239378.25,735.2999877929688,20.600000381469727,27.200000762939453
2025-03-06 18:00:01.947,2239739.25,722.0,20.700000762939453,26.5
2025-03-06 19:30:02.283,2240828.25,728.7000122070312,20.600000381469727,25.600000381469727
2025-03-06 20:00:10.647,2241197.25,735.0999755859375,20.600000381469727,25.600000381469727
2025-03-06 22:30:02.617,2243001.25,712.7000122070312,20.799999237060547,24.0
2025-03-06 23:00:02.043,2243359.25,721.9000244140625,20.899999618530273,23.399999618530273
2025-03-06 12:00:02.193,2235393.25,695.9000244140625,20.799999237060547,27.899999618530273
2025-03-06 18:30:02.380,2240111.25,744.0999755859375,20.700000762939453,25.799999237060547
2025-03-07 05:30:01.977,2248054.25,741.2000122070312,20.799999237060547,20.600000381469727
2025-03-06 11:30:02.587,2235039.25,724.7999877929688,20.700000762939453,26.899999618530273
2025-03-06 19:00:01.813,2240473.25,710.5,20.700000762939453,25.700000762939453
2025-03-06 22:00:02.137,2242641.25,726.7000122070312,20.799999237060547,24.299999237060547
2025-03-07 00:00:02.057,2244088.25,733.5,20.899999618530273,22.600000381469727
2025-03-07 02:00:02.663,2245523.25,719.0,20.899999618530273,22.0
2025-03-07 02:30:02.160,2245887.25,723.0,20.799999237060547,21.899999618530273
2025-03-07 03:00:02.647,2246240.25,729.2999877929688,20.799999237060547,21.700000762939453
2025-03-07 03:30:02.103,2246609.25,726.2000122070312,20.799999237060547,21.399999618530273
2025-03-07 04:00:02.560,2246962.25,715.2999877929688,20.899999618530273,21.399999618530273
2025-03-07 04:30:02.010,2247325.25,714.0999755859375,20.899999618530273,21.100000381469727
2025-03-06 12:30:01.797,2235756.25,734.0999755859375,20.799999237060547,28.899999618530273
2025-03-06 21:30:02.640,2242273.25,739.2000122070312,20.700000762939453,25.0
2025-03-07 05:00:02.527,2247686.25,723.2000122070312,20.799999237060547,20.899999618530273
2025-03-06 14:30:02.633,2237208.25,748.9000244140625,20.600000381469727,30.799999237060547
2025-03-06 15:00:02.117,2237573.25,736.2000122070312,20.600000381469727,30.600000381469727
2025-03-06 15:30:02.567,2237946.25,741.4000244140625,20.700000762939453,30.299999237060547
2025-03-06 17:00:02.030,2239023.25,689.4000244140625,20.700000762939453,28.0
2025-03-06 20:30:02.093,2241561.25,716.7000122070312,20.799999237060547,25.299999237060547
2025-03-06 21:00:02.217,2241911.25,699.7000122070312,20.700000762939453,25.299999237060547
2025-03-06 23:58:01.930,2244063.25,739.2000122070312,20.799999237060547,22.600000381469727
2025-03-07 00:30:02.507,2244442.25,708.5,20.799999237060547,22.200000762939453
2025-03-07 01:00:03.333,2244806.25,728.5999755859375,20.799999237060547,22.200000762939453
2025-03-07 01:30:02.173,2245165.25,713.2000122070312,20.799999237060547,22.100000381469727
2025-03-07 06:00:02.430,2248423.25,738.5999755859375,20.799999237060547,20.200000762939453
2025-03-06 23:30:02.533,2243717.25,722.9000244140625,20.899999618530273,23.100000381469727
